"CodeFigure","Meaning_en"
"0","Surface data - land"
"1","Surface data - sea"
"2","Vertical soundings (other than satellite)"
"3","Vertical soundings (satellite)"
"4","Single level upper-air data (other than satellite)"
"5","Single level upper-air data (satellite)"
"6","Radar data"
"7","Synoptic features"
"8","Physical/chemical constituents"
"9","Dispersal and transport"
"10","Radiological data"
"11","BUFR tables
"12","Surface data (satellite)"
"13","Forecasts"
"14","Warnings"
"15-19","Reserved"
"20","Status information"
"21","Radiances (satellite measured)"
"22-30","Reserved"
"31","Oceanographic data"
"32-100","Reserved"
"101","Image data"
"102-239","Reserved"
"240-254","For experimental use"
"255","Indicator for local use
"255","Other category (for BUFR edition 4)"
