"FXY1","FXY2"
"300002","000002"
"300002","000003"
"300003","000010"
"300003","000011"
"300003","000012"
"300004","300003"
"300004","000013"
"300004","000014"
"300004","000015"
"300004","000016"
"300004","000017"
"300004","000018"
"300004","000019"
"300004","000020"
"300010","300003"
"300010","101000"
"300010","031001"
"300010","000030"
"300015","000030"
"300015","102000"
"300015","031002"
"300015","000024"
"300015","000025"
"300016","000030"
"300016","102000"
"300016","031001"
"300016","000026"
"300016","000027"
"301001","001001"
"301001","001002"
"301002","001003"
"301002","001004"
"301002","001005"
"301003","001011"
"301003","001012"
"301003","001013"
"301004","001001"
"301004","001002"
"301004","001015"
"301004","002001"
"301005","001035"
"301005","001034"
"301011","004001"
"301011","004002"
"301011","004003"
"301012","004004"
"301012","004005"
"301013","004004"
"301013","004005"
"301013","004006"
"301014","102002"
"301014","301011"
"301014","301012"
"301018","001114"
"301018","025185"
"301018","025186"
"301021","005001"
"301021","006001"
"301022","005001"
"301022","006001"
"301022","007001"
"301023","005002"
"301023","006002"
"301024","005002"
"301024","006002"
"301024","007001"
"301025","301023"
"301025","004003"
"301025","301012"
"301026","301021"
"301026","004003"
"301026","004003"
"301026","004004"
"301026","004004"
"301026","004005"
"301026","004005"
"301027","008007"
"301027","101000"
"301027","031001"
"301027","301028"
"301027","008007"
"301028","008040"
"301028","033042"
"301028","007010"
"301028","101000"
"301028","031002"
"301028","301023"
"301028","019007"
"301028","008040"
"301029","001018"
"301029","002001"
"301029","301011"
"301030","001018"
"301030","002001"
"301030","301011"
"301030","301024"
"301031","301001"
"301031","002001"
"301031","301011"
"301031","301012"
"301031","301022"
"301032","301001"
"301032","002001"
"301032","301011"
"301032","301012"
"301032","301024"
"301033","001005"
"301033","002001"
"301033","301011"
"301033","301012"
"301033","301021"
"301034","001005"
"301034","002001"
"301034","301011"
"301034","301012"
"301034","301023"
"301035","001005"
"301035","001012"
"301035","001013"
"301035","002001"
"301035","301011"
"301035","301012"
"301035","301023"
"301036","301003"
"301036","002001"
"301036","301011"
"301036","301012"
"301036","301023"
"301037","301001"
"301037","002011"
"301037","002012"
"301037","301011"
"301037","301012"
"301037","301022"
"301038","301001"
"301038","002011"
"301038","002012"
"301038","301011"
"301038","301012"
"301038","301024"
"301039","301003"
"301039","002011"
"301039","002012"
"301039","301011"
"301039","301012"
"301039","301023"
"301040","301003"
"301040","002011"
"301040","002012"
"301040","301011"
"301040","301012"
"301040","301024"
"301041","001007"
"301041","002021"
"301041","002022"
"301041","301011"
"301041","301012"
"301042","301041"
"301042","301021"
"301043","001007"
