"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"001007","Satellite identifier",,"CODE TABLE","0","0","10"
"001031","Identification of originating/generating centre",,"CODE TABLE","0","0","16"
"002019","Satellite instruments",,"CODE TABLE","0","0","11"
"002020","Satellite classification",,"CODE TABLE","0","0","9"
"004001","Year",,"a","0","0","12"
"004002","Month",,"mon","0","0","4"
"004003","Day",,"d","0","0","6"
"004004","Hour",,"h","0","0","5"
"004005","Minute",,"min","0","0","6"
"004006","Second",,"s","0","0","6"
"005001","Latitude (high accuracy)",,"deg","5","-9000000","25"
"005021","Bearing or azimuth",,"deg","2","0","16"
"005022","Solar azimuth",,"deg","2","0","16"
"005040","Orbit number",,"Numeric","0","0","24"
"005041","Scan line number",,"Numeric","0","0","8"
"005043","Field of view number",,"Numeric","0","0","8"
"006001","Longitude (high accuracy)",,"deg","5","-18000000","26"
"007007","Height",,"m","0","-1000","17"
"007024","Satellite zenith angle",,"deg","2","-9000","15"
"007025","Solar zenith angle",,"deg","2","-9000","15"
"010200","Mean dynamic topography accuracy",,"m","3","-131072","18"
"010200","Mean dynamic topography accuracy",,"m","3","-131072","18"
"010220","Pressure (high precision)",,"Pa","-1","0","30"
"025060","Software identification",,"Numeric","0","0","14"
"025200","Band specific ocean quality flag",,"Flag table","0","0","9"
"025201","Altimeter echo processing mode",,"Code Table","0","0","8"
"025202","Altimeter tracking mode",,"Code Table","0","0","8"
"025203","Sea ice freeboard",,"m","3","-131072","18"
"040197","Satellite manoeuvre indicator",,"CODE TABLE","0","0","3"
"040220","Quality indicator for atmospheric temperature",,"double","1","0","8"
"040221","Quality indicator for atmospheric water_vapour",,"double","1","0","8"
"040223","Quality indicator for surface temperature",,"double","1","0","8"
"040231","Cloudiness summary",,"CODE TABLE","0","0","3"
"040232","New validation flag for IASI level 1 product",,"CODE TABLE","0","0","3"
"040233","Validation flag for AMSU-b level 1 product",,"CODE TABLE","0","0","3"
"040235","Retrieval initialisation",,"CODE TABLE","0","0","8"
"040236","Convergence of the iterative retrieval",,"CODE TABLE","0","0","3"
"040237","Validation flag of mhs  level 1 data flow",,"CODE TABLE","0","0","3"
"040238","Validation flag of NWP forecast",,"CODE TABLE","0","0","3"
"040239","Indication of super-adiabatic and super-saturation in final ret",,"FLAG TABLE","0","0","8"
"040240","Number of iteration used for retrieval",,"long","0","0","8"
"040242","General retrieval quality flag",,"CODE TABLE","0","0","3"
"040243","Retrieval flags",,"CODE TABLE","0","0","31"
"040244","Number of vectors describing the char. matrices",,"Numeric","0","0","8"
"040245","Number of layers actually retrieved",,"Numeric","0","0","8"
"040246","Number of co profiles retrieved in scanline",,"Numeric","0","0","8"
"040247","Air partial columns on each retrieved layer",,"Numeric","-20","0","16"
"040248","A-priori partial columns for co en each retrieved layer",,"Numeric","-13","0","16"
"040249","Scal. vec. mult. a-pri. co vec. def. retr. co vec.",,"Numeric","5","0","26"
"040250","Main eigenvalues of the sensitivity matrix",,"Numeric","6","0","31"
"040251","Main eigenvectors of the sensitivity matrix",,"Numeric","6","-1000000000","31"
"040252","Retrieval flags part 1 processing and inputs potential errors",,"FLAG TABLE","0","0","13"
"040253","Retrieval flags part 2 diagnostics on the retrieval",,"FLAG TABLE","0","0","21"
