"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"001230","Unique product description",,"CCITT IA5","0","0","2048"
"002193","Antenna rotation direction",,"Code table","0","0","2"
"002194","Dualprf ratio",,"Code table","0","0","4"
"005230","Maximum size of x dimension in a volume scan or data cube",,"Numeric","0","0","12"
"006230","Maximum size of y dimension in a volume scan or data cube",,"Numeric","0","0","12"
"007230","Maximum size of z dimension in a volume scan or data cube",,"Numeric","0","0","12"
"007231","Level index of z",,"Numeric","0","0","16"
"021200","Height of cappi above seal level",,"m","0","-1000","15"
"021201","Range-bin size",,"m","0","0","14"
"021202","Azimuthal resolution",,"deg","1","0","8"
"021203","Range-bin offset",,"m","-1","0","14"
"021204","Azimuth offset",,"deg","1","0","12"
"021210","Version of algorithm for quality assurance",,"Numeric","2","0","10"
"021211","Number of blacklist",,"Numeric","0","0","14"
"021212","RADAR maintenance",,"Code table","0","0","2"
"021213","Radarhardware",,"Code table","0","0","2"
"021214","Corrupt image",,"Code table","0","0","2"
"021215","German pancake",,"Code table","0","0","2"
"021216","Radome attenuation",,"Code table","0","0","2"
"021217","Checked algorithm",,"Flag table","0","0","16"
"021218","RADAR quality flag",,"Flag table","0","0","16"
"021236","Extended nyquist velocity",,"m/s","0","0","8"
"021237","High nyquist velocity",,"m/s","0","0","8"
"030192","North south view organisation",,"Code table","0","0","3"
"030193","East west view organisation",,"Code table","0","0","3"
"030194","Number of bins along the radial",,"Numeric","0","0","12"
"030195","Number of azimuths",,"Numeric","0","0","11"
"030196","Type of product",,"Code table","0","0","16"
