"FXY","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en"
"025192","0","Valid",,,
"025192","1","Invalid",,,
"040214","0","Clear",,,
"040214","1","Could",,,
"005237","0","Mie",,,
"005237","1","Rayleigh",,,
"008201","0","Satellite coordinates",,,
"008201","1","Observations coordinates",,,
"008201","2","Start of observation",,,
"008201","3","End of observation",,,
"008201","4","Centre of gravity of observation",,,
"008201","5","Top of the observation",,,
"008201","6","Bottom of the observation",,,
"008201","7","Vertical centre of gravity of the observation",,,
"008201","8","RESERVED",,,
"008201","9","RESERVED",,,
"008201","10","RESERVED",,,
"008201","11","RESERVED",,,
"008201","12","RESERVED",,,
"008201","13","RESERVED",,,
"008201","14","RESERVED",,,
"008201","15","MISSING VALUE",,,
