"FXY1","FXY2","Title_en","ElementName_en"
"301193","001007",,
"301193","001031",,
"301193","002196",,"Satellite classification"
"301193","002221",,"Segment size at nadir in x direction"
"301193","002222",,"Segment size at nadir in y direction"
"301194","001194",,"Carrier balloon/aircraft identifier"
"301194","001012",,
"301194","001013",,
"301194","002011",,
"301194","002012",,
"301194","301011",,
"301194","301012",,
"301194","301023",,
"301194","007001",,
"301195","001195",,"Mobil land station identifier"
"301195","001012",,
"301195","001013",,
"301195","002011",,
"301195","002012",,
"301195","301011",,
"301195","301012",,
"301195","301023",,
"301195","007001",,
"301196","301003",,
"301196","002011",,
"301196","002012",,
"301196","301011",,
"301196","301012",,
"301196","301023",,
"301196","007001",,
"301197","001006",,
"301197","001008",,
"301197","002061",,
"301197","002062",,
"301197","002002",,
"301197","002005",,
"301197","002070",,
"301197","002063",,
"301197","002001",,
"301198","001011",,
"301198","001012",,
"301198","001013",,
"301198","002011",,
"301198","002012",,
"301198","301011",,
"301198","301012",,
"301198","301023",,
"301198","007001",,
"301200","001032",,
"301200","033194",,"Data quality 2 bit code"
"301201","101003",,
"301201","033193",,"Data quality 3 bit code"
"301202","001031",,
"301202","001032",,
"301239","002111",,
"301239","002112",,
"301239","021192",,"RADAR back scatter"
"301239","021193",,"Noise figure"
"301239","021195",,"Missing packet counter"
"301240","201131",,
"301240","202129",,
"301240","022021",,
"301240","201000",,
"301240","202000",,
"301241","201141",,
"301241","202130",,
"301241","007001",,
"301241","201000",,
"301241","202000",,
"301242","021207",,"Altitude correction (ionosphere)"
"301242","021208",,"Altitude correction (dry troposphere)"
"301242","021209",,"Ltitude correction (wet troposphere)"
"301242","021210",,"Altitude correction (calibration constant)"
"301242","021211",,"Open loop correction (htl)"
"301242","021212",,"Open loop correction (agc)"
"301250","301193",,
"301250","301011",,
"301250","301013",,
"301250","301021",,
"302205","201131",,
"302205","202129",,
"302205","022021",,
"302205","201000",,
"302205","202000",,
"302206","302205",,
"302206","201130",,
"302206","202129",,
"302206","022011",,
"302206","201000",,
"302206","202000",,
"302206","022001",,
"302206","011001",,
"302206","011002",,
"302207","022193",,"Mean wavenumber"
"302207","022194",,"Peak wavenumber"
"302207","022195",,"Mean wave propagation direction"
"302207","022196",,"Peak wave propagation direction"
"302207","022197",,"Direction spread"
"302250","102000",,
"302250","031001",,
"302250","020193",,"Cloud amount in segment"
"302250","020194",,"Amount of segment cloud free"
"302250","020012",,
"303249","002252",,"Satellite instrument data used in processing"
"303249","104000",,
"303249","031001",,
"303249","002199",,"Integrated mean humidity computational method"
"303249","007004",,
"303249","007004",,
"303249","013003",,
"303250","002252",,"Satellite instrument data used in processing"
"303250","002023",,
"303250","007004",,
"303250","011001",,
"303250","011002",,
"303250","002197",,"Satellite channel centre frequency"
"303250","002198",,"Satellite channel band width"
"303250","012193",,"Coldest cluster temperature"
"303251","002252",,"Satellite instrument data used in processing"
"303251","105000",,
"303251","031001",,
"303251","002254",,"Radiance type"
"303251","002251",,"Radiance computational method"
"303251","002197",,"Satellite channel centre frequency"
"303251","002198",,"Satellite channel band width"
"303251","012063",,
"303252","002252",,"Satellite instrument data used in processing"
"303252","105000",,
"303252","031001",,
"303252","002254",,"Radiance type"
"303252","002251",,"Radiance computational method"
"303252","002197",,"Satellite channel centre frequency"
"303252","002198",,"Satellite channel band width"
"303252","012194",,"Radiance"
"304228","005217",,"Location of platform, x"
"304228","006217",,"Location of platform, y"
"304228","007217",,"Location of platform, z"
"304229","001208",,"Velocity of platform, x"
"304229","001209",,"Velocity of platform, y"
"304229","001210",,"Velocity of platform, z"
"309194","301194",,
"309194","302004",,
"309194","101000",,
"309194","031001",,
"309194","303014",,
"309195","301195",,
"309195","302004",,
"309195","101000",,
"309195","031001",,
"309195","303014",,
"309196","301196",,
"309196","302004",,
"309196","101000",,
"309196","031001",,
"309196","303014",,
"309198","301198",,
"309198","302004",,
"309198","101000",,
"309198","031001",,
"309198","303014",,
"310193","301250",,
"310193","303250",,
"310193","302250",,
"310193","303249",,
"310193","303251",,
"310194","301250",,
"310194","303250",,
"310194","302250",,
"310194","303249",,
"310194","303252",,
"310195","301250",,
"310195","303250",,
"310195","304250",,
"310196","301250",,
"310196","303249",,
"310196","303251",,
"312201","301237",,
"312201","101003",,
"312201","301239",,
"312201","011012",,
"312201","011011",,
"312201","021197",,"Uwi product confidence"
"312203","301237",,
"312203","008022",,
"312203","012061",,
"312203","022050",,
"312203","021204",,"Multi/single view difference"
"312203","021199",,"Uat product confidence"
"312203","021214",,"Uat quality summary"
"312203","021215",,"Uat across-track band no."
"312207","312202",,
"312207","301202",,
"312207","033191",,
"312212","301023",,
"312212","321027",,
